date,0,1,2,3,4,5
2020-05-01,6.77560532614403e-24,0.004091377741179727,4.54597395314708e-13,9.303282626427274e-31,0.9959086222583651,9.437750848615008e-45
2020-05-04,1.4687936199460572e-24,0.0016952295457815362,1.2645278223799914e-15,1.7345184277813212e-32,0.9983047704542174,4.744947371167181e-47
2020-05-05,4.6801588684818925e-18,0.004337638493284538,2.766679125258656e-17,6.104959363161664e-29,0.9956623615067147,2.4883129451818885e-44
2020-05-06,1.4382192881286587e-27,0.004709936281299607,2.1144909036764118e-08,6.027572104926806e-39,0.9952900425737914,3.2155390795603098e-55
2020-05-07,1.0336237024077982e-18,0.022621963538427006,1.5843627395827246e-11,4.727410257270133e-31,0.977378036445729,2.7501042591305035e-46
2020-05-08,2.978902000871894e-20,0.0021179406950929524,1.1685285280568028e-09,1.378339840390734e-32,0.9978820581363802,8.264247953597958e-48
2020-05-11,2.0750962961951705e-23,0.0018034160291655861,1.48567371673735e-05,3.247633592814375e-35,0.998181727233668,3.435487862301255e-52
2020-05-12,5.152829503372013e-27,0.0017066420376664697,1.4506742521205702e-09,4.579192403532796e-39,0.9982933565116596,1.0467780060776765e-57
2020-05-13,2.328707490738064e-29,0.0013430208231262235,0.00027969450239677905,6.574680541552295e-42,0.9983772846744765,4.771717952474522e-61
2020-05-14,1.7226115184363416e-22,0.008442362962958031,4.332580682716929e-11,4.124683992074597e-35,0.9915576369937171,4.619393651011912e-54
2020-05-15,6.426486289362651e-23,0.013049701322844463,3.304758117988148e-16,5.130370096043026e-35,0.9869502986771562,5.235727248149906e-55
2020-05-18,6.672841488200586e-19,0.05332530454254518,1.0489923043965675e-17,1.4591444257563546e-32,0.9466746954574565,1.652477505644881e-52
2020-05-19,1.7075698448058056e-20,0.0666912292624582,3.8751627318708085e-16,4.3451908055514894e-35,0.9333087707375418,1.9199865589242998e-56
2020-05-20,5.894495249178269e-23,0.057761335035576504,1.3960714638340728e-17,2.120445199903466e-37,0.9422386649644235,6.463838022781643e-59
2020-05-21,1.1118682945105947e-25,0.18556970827780575,7.139378873657947e-14,9.477751685269936e-40,0.8144302917221216,8.363453824540813e-62
2020-05-22,1.943035136872247e-22,0.1671965140274319,1.8310297863489087e-23,5.271138414576856e-34,0.8328034859725665,8.905088502321298e-57
2020-05-25,1.413235043143885e-27,0.07890733203512201,5.23145796351498e-19,2.1974481893995427e-41,0.9210926679648798,1.0596436190731502e-67
2020-05-26,1.4113190656365687e-23,0.05097774866997012,1.1074672734969224e-16,1.7188509958363957e-37,0.9490222513300297,9.53964815361026e-65
2020-05-27,4.201735259731725e-23,0.026223692250225666,9.497084894060872e-19,3.97310841085215e-37,0.9737763077497733,2.162118660695943e-64
2020-05-28,1.0271640977614113e-20,0.00979721552573025,9.046647329325513e-20,1.432316721683026e-35,0.9902027844742685,3.949324385274308e-62
2020-05-29,6.232237537227035e-25,0.00373041816469621,2.7074105602496226e-13,5.131024237494211e-41,0.9962695818350342,1.27876214030441e-67
2020-06-01,1.1716604176395466e-27,0.0026320186131748875,1.578057201953859e-11,1.4998432486210746e-42,0.9973679813710432,2.8297966758487574e-69
2020-06-02,2.724345791526576e-21,0.0012205109252052745,1.7483256414056088e-18,1.0842919176190042e-36,0.9987794890747964,5.174845282360533e-62
2020-06-03,8.819372325390006e-23,0.0006051998903455831,4.322138837667528e-16,5.071678103341192e-38,0.9993948001096545,4.6873782756402755e-64
2020-06-04,9.332383835720727e-28,1.0,1.0673873443780654e-84,2.488894658109963e-43,4.807668793246597e-19,9.753726488563469e-67
2020-06-05,0.9999543135111679,4.5676118855825146e-05,3.465084090611842e-80,1.4441833005084787e-12,1.036853351481086e-08,9.119862216286441e-36
2020-06-08,0.9942503526357164,0.005749647322260865,4.726080076680331e-94,4.1466155973190376e-11,5.549359005233323e-13,4.7800406166748775e-35
2020-06-09,0.9997002629085195,0.00029970280166770596,3.302479173368862e-105,3.4289807347626013e-08,4.003180759709254e-15,4.156461261046877e-34
2020-06-10,1.9849662902905668e-79,1.0,1.6263697376349332e-43,1.5595162448093393e-91,8.982835455984296e-21,5.693632184779481e-127
2020-06-11,4.848559476163003e-44,0.9885406818331209,2.2202223418090883e-22,8.472067974915728e-51,0.011459318166879761,1.2902754837519712e-83
2020-06-12,1.827807306305929e-55,0.9996964763728662,9.059564920271347e-21,1.6648588275537956e-63,0.00030352362713437144,9.001770358633351e-97
2020-06-15,3.561323227941292e-46,0.6985325323513066,2.421873828188691e-11,2.6021167063481592e-54,0.30146746762447285,9.096074795417575e-88
2020-06-16,5.442660754673136e-54,0.0013023455315726202,0.023905943782766885,5.546169206973648e-63,0.97479171068566,3.6646606731693767e-96
2020-06-17,7.845720297529277e-57,0.0017185414496769063,0.18449900914988163,4.613398812321738e-66,0.8137824494004404,4.484000117674523e-98
2020-06-18,3.9047163253055653e-57,0.0014596950241202867,0.06470037526099773,3.98357760832631e-67,0.933839929714882,6.140012365980522e-99
2020-06-19,1.506971703851509e-47,0.005846828266669489,0.23731315987298876,4.3687129966955935e-58,0.7568400118603414,1.9673187627610426e-88
2020-06-22,5.74620553343983e-47,0.00024534980707126617,0.22631702709465354,8.159865803342001e-57,0.7734376230982758,5.538208023952686e-88
2020-06-23,4.1963096492280795e-55,0.0006657458665788232,0.7898190994205088,1.1484180938504904e-65,0.2095151547129107,3.074982304544409e-97
2020-06-24,6.418605976702428e-58,0.00014995405618032373,0.9247032982914528,1.913258519191006e-68,0.07514674765236613,6.52928648357899e-101
2020-06-25,1.6465023830447342e-54,0.00045641774805784053,0.7449331890001448,8.077587134525769e-66,0.25461039325179613,1.7014594528768875e-96
2020-06-26,4.6895086682228655e-54,0.0013484948550797648,0.34967452114568964,2.662106305528597e-65,0.6489769839992311,1.4724280835973326e-95
2020-06-29,1.8798615342058001e-47,0.0004999547275444436,0.7171779484065722,7.42898350465164e-60,0.28232209686588317,1.0318590911933246e-88
2020-06-30,6.570319759486054e-55,0.0015449883063974148,0.9038286445124841,2.025226411857968e-67,0.09462636718112008,8.913976028331358e-96
2020-07-01,2.2979066953843224e-54,0.00033158968716486486,0.9313174860851698,4.852357596278074e-67,0.06835092422766478,6.728419397131682e-96
2020-07-02,2.5512980644416876e-57,0.0032049512538604745,0.8916416546751693,3.0251427467482097e-70,0.1051533940709708,3.1500305513365535e-100
2020-07-03,8.031394124801548e-50,0.0014280281130769669,0.8971629421689504,6.621442197696119e-63,0.10140902971797203,3.409591189302236e-92
2020-07-06,8.224834073885884e-49,1.3493234137526652e-05,0.9929607329945129,4.8509929580689143e-63,0.0070257737713495085,3.8864284643533286e-92
2020-07-07,1.8845277914729015e-49,8.710899439521848e-06,0.996894106986509,3.1016006376256863e-66,0.0030971821140522364,7.684662983133243e-95
2020-07-08,2.8983169643203564e-51,9.150984978132682e-06,0.9965799370904291,3.1818786641273955e-69,0.0034109119245926225,1.493807163108093e-100
2020-07-09,3.250249557652139e-45,1.5065702121971705e-05,0.9866113683580285,1.2708162408279038e-63,0.013373565939848652,3.9756750286219296e-94
2020-07-10,4.836573221617409e-53,2.1639678881064355e-05,0.9966095178183426,6.913102963365268e-72,0.00336884250277663,5.112837312833825e-104
2020-07-13,6.511355748116011e-45,0.0020808813468105574,0.7104850196335285,6.140304288173806e-63,0.2874340990196596,1.6145473272072514e-93
2020-07-14,1.1720393509645245e-47,0.0007792348157565398,0.8737740763560822,2.705599689175543e-66,0.1254466888281602,3.344081285820991e-96
2020-07-15,3.035297350885055e-57,0.007552007249396805,0.9259075863175188,2.1503915388918944e-76,0.06654040643308573,4.360913038225269e-107
2020-07-16,1.8371504488848877e-46,0.021938425480611264,0.49775663022316774,1.3506162303852694e-65,0.48030494429621945,9.563440616860318e-96
2020-07-17,2.906200473428868e-49,0.0003668568407513947,0.9315545696921228,2.8533671319798895e-68,0.06807857346712574,4.925301808005778e-98
2020-07-20,1.6163610626876053e-49,9.929967395135508e-06,0.9938537871906857,5.448018968633571e-69,0.006136282841918545,1.4247321247714347e-98
2020-07-21,3.554712696274408e-57,3.257013038883504e-05,0.9977617370653371,2.3843535432605504e-78,0.002205692804274231,2.3649481972524885e-108
2020-07-22,9.319506176418543e-54,1.0004650724705485e-06,0.9996814770571738,2.2153599173717705e-75,0.0003175224777529229,5.203151008450651e-105
2020-07-23,1.0751123189032845e-44,0.0009745031874088912,0.7541254584256116,7.929606968175364e-65,0.24490003838697882,7.79507458755277e-95
2020-07-24,1.9302719900052747e-57,8.036582750304115e-05,0.999139533762458,7.032987531704853e-78,0.0007801004100398255,2.0214384863387934e-108
2020-07-27,3.2822122543024097e-60,2.216677306337326e-05,0.9993246759783055,3.908031763237823e-80,0.0006531572486308583,1.590385119022438e-111
2020-07-28,1.2694150913231043e-53,0.0017216724993709416,0.9260731844685809,3.4446398938863265e-74,0.07220514303204727,4.502408427228906e-106
2020-07-29,2.448301401379179e-52,1.2183893793655582e-05,0.9991216751521984,4.771763843294418e-73,0.0008661409540077858,2.120985359964734e-104
2020-07-30,5.469062887796222e-47,3.4763627050054674e-05,0.9937824232451282,3.3839866418460735e-67,0.006182813127821902,8.760514581899754e-99
2020-07-31,6.995765704147847e-50,6.4695504038952525e-06,0.9977748627897667,3.8670032831193313e-70,0.0022186676598297305,3.2245747067694013e-102
2020-08-03,5.215705696289661e-45,4.234867730008296e-05,0.9768993231358862,3.7039559500733037e-65,0.02305832818681398,5.485487769758138e-97
2020-08-04,3.0942854613503823e-51,0.0020556686390198298,0.9858066666046663,2.681189602991893e-71,0.012137664756314484,3.2619255567430793e-103
2020-08-05,2.3732194174634355e-52,0.00020353743116415673,0.9970018995752583,1.5419842899479586e-72,0.002794562993577448,7.028391066176565e-104
2020-08-06,1.012520958564443e-55,3.197962141039583e-05,0.999401827069289,3.5175483758285893e-76,0.0005661933093005932,1.878036674803719e-107
2020-08-07,7.713563061626261e-56,2.4150885838042948e-05,0.9997662883962228,2.065048789802195e-77,0.00020956071793867175,1.209574379929573e-109
2020-08-10,6.053823428854719e-49,2.6031365548502352e-05,0.9997906471351329,1.1528856240290206e-71,0.0001833214993186788,1.074634174738484e-103
2020-08-11,2.625883486596131e-61,1.0265965274941822e-06,0.9999982748580146,1.0958242637460349e-85,6.985454571643991e-07,6.880513946619612e-119
2020-08-12,5.977519451181243e-58,7.101828581821708e-08,0.9999992293517547,2.7884534494279527e-82,6.996299594675594e-07,4.467742735256865e-115
2020-08-13,9.325229320442801e-49,8.700637326684413e-07,0.9999937303662072,2.6194447067346237e-73,5.3995700595789714e-06,4.766670561927934e-106
2020-08-14,9.253816140908075e-53,9.849175060238359e-08,0.99999812644492,4.586146705203888e-78,1.7750633291639776e-06,6.383085362873034e-111
2020-08-17,4.2842941729943656e-60,1.6382529927143684e-05,0.9999627432337994,5.21050905706306e-85,2.0874236273126495e-05,3.626265595555458e-118
2020-08-18,7.216218024158072e-51,1.4359790610788432e-05,0.9999664263433736,2.707978086105311e-75,1.9213866015605816e-05,6.42082385348111e-107
2020-08-19,3.0749370179147234e-53,4.819839849583108e-07,0.9999954486479664,1.4566872949336574e-77,4.069368048407872e-06,3.7631786890035736e-109
