date,0,1,2,3,4
2015-06-03,0.0007743178227402025,1.3516022498512482e-18,7.484626449443491e-08,1.9741803093327503e-150,0.9992256073309937
2015-06-04,0.0013543303825174313,1.4706470364007754e-12,4.1470268713469905e-06,1.662241759760862e-109,0.9986415225891402
2015-06-05,0.001753296898118961,4.149332102428924e-27,8.061147965963471e-09,2.534489056984903e-227,0.9982466950407333
2015-06-08,0.010544765139865448,6.526021044367355e-21,2.6496630862182817e-08,2.6202354119856443e-190,0.9894552083635028
2015-06-09,0.0008711240758413537,1.5151274290364688e-18,4.2900892048730216e-08,2.3107979826895287e-167,0.9991288330232677
2015-06-10,2.6672529108230966e-06,1.3198445609408395e-18,2.1515000984166204e-10,2.326642197938908e-148,0.9999973325319381
2015-06-11,2.7276564823943834e-07,2.2819751650973617e-18,1.1552619440759614e-10,1.2358507669537685e-138,0.9999997271188245
2015-06-12,7.044730164985676e-05,9.099885610405577e-15,6.255832114935934e-08,2.0279473004144e-105,0.9999294901400193
2015-06-15,1.7478819664718804e-06,2.8351818011022482e-11,7.932615570841402e-10,7.970668159360068e-77,0.9999982512964194
2015-06-16,1.2538575197681862e-07,1.2697994190391992e-16,4.122253992359062e-11,7.695714991284418e-114,0.9999998745730253
2015-06-17,1.6924842682606163e-09,1.1046291046529809e-11,1.7480923702763776e-11,8.652234473062922e-82,0.9999999982789891
2015-06-18,1.1773025540617852e-10,3.5348371334929416e-13,1.2616141904690872e-12,1.3111821956195602e-90,0.9999999998806537
2015-06-19,8.028174304163482e-08,4.5821574926376596e-17,8.838869206964323e-11,5.531402632493841e-115,0.9999999196298678
2015-06-22,3.080756595455474e-07,2.2735775787705353e-14,2.439884191775248e-11,5.58041957248203e-98,0.9999996918999171
2015-06-23,2.9515400468826518e-05,1.3159437936927678e-10,1.6494990697804222e-09,6.674997733317051e-83,0.9999704828184367
2015-06-24,2.158360915962642e-07,1.736192426017222e-13,2.0523187993588417e-12,1.3431408910275404e-97,0.9999997841616823
2015-06-25,6.005653748259458e-06,2.0304433633837645e-15,2.7233257603038718e-11,8.101532239989566e-111,0.9999939943190169
2015-06-26,2.0030848866642558e-07,9.586920487118323e-19,3.1767198853745986e-13,1.7823294418027048e-125,0.9999997996911946
2015-06-29,9.052066566980658e-07,7.487084341483478e-18,4.643474459778767e-13,5.883003091611133e-123,0.9999990947928776
2015-06-30,2.2365451542232925e-06,4.357679205275134e-11,3.054688556516333e-12,1.1359618846720312e-83,0.9999977634082136
2015-07-01,2.053450741894078e-08,1.5690093542246327e-20,4.2071262742740895e-14,2.855300448315125e-153,0.9999999794654502
2015-07-02,5.0740174379341017e-11,1.1505142388933232e-16,5.3995622237151824e-14,1.811711180674487e-125,0.9999999999492069
2015-07-03,2.5177154844917165e-06,5.561722584019624e-13,4.456758562073103e-12,1.9592188887744774e-108,0.9999974822795026
2015-07-06,1.6523979167443005e-07,8.604295342308975e-16,4.818891188020462e-13,6.989919233462038e-125,0.9999998347597264
2015-07-07,2.897943854138705e-07,2.0738123451966193e-12,8.729360339809221e-13,9.728722278746426e-104,0.9999997102026683
2015-07-08,1.9407122940479063e-06,1.4576047454970315e-09,1.11720905074106e-11,2.4551322701665776e-74,0.9999980578189294
2015-07-09,4.6904704502914493e-07,1.199889630247966e-16,5.362852935484107e-13,5.590418131264654e-116,0.9999995309524187
2015-07-10,5.700989567524768e-07,3.960248219380978e-12,2.1063455172152316e-11,2.1264853635272085e-88,0.9999994298760191
2015-07-13,2.1576816655086567e-05,2.5493516756956887e-10,4.400906289810099e-09,4.036253958337284e-78,0.999978418527504
2015-07-14,2.9505150642707933e-05,5.303208283311221e-09,3.2713318637962053e-09,9.843693577148683e-71,0.9999704862748178
2015-07-15,0.00011136055065533266,1.6393347708717326e-16,2.2577461541443445e-06,4.844984339237977e-126,0.9998863817031896
2015-07-16,0.000245180224315721,2.1105535121201056e-10,5.529152915006339e-05,3.88855426281964e-88,0.999699528035478
2015-07-17,0.0001914910546348212,4.02169146437577e-11,1.1243123567472214e-05,2.1703105608607062e-88,0.9997972657815822
2015-07-20,0.00029711254771151664,4.876659215249308e-13,3.7829863862864366e-05,1.058456268173675e-103,0.9996650575879377
2015-07-21,0.0013123029696551942,1.982702239250062e-12,6.457109882552951e-05,3.7686487157778805e-99,0.9986231259295348
2015-07-22,0.002137756756455284,3.0616832587381775e-08,3.503528839960104e-05,8.036740579137508e-73,0.9978271773383136
2015-07-23,0.00010672550298121219,1.890701701165052e-11,1.5056001759930286e-07,2.048268737943772e-85,0.9998931239180957
2015-07-24,2.2014206934358127e-05,2.4127678300347202e-11,1.3386950774162713e-09,4.48140307041304e-89,0.9999779844302431
2015-07-27,2.4725524585963645e-05,1.5695333262063018e-13,1.5318946640865678e-09,3.291163540259504e-99,0.9999752729433636
2015-07-28,4.417221140079614e-07,3.33578630009928e-21,9.294793959805833e-12,1.1800644449435102e-147,0.9999995582685929
2015-07-29,3.1780441724254655e-06,1.6661402138814593e-13,3.151469503688048e-11,1.434123400289531e-103,0.9999968219241476
2015-07-30,1.6254325755630148e-06,2.2498515071111132e-10,1.5046502727776325e-12,8.485479578105994e-82,0.9999983743409346
2015-07-31,1.930718515161703e-05,3.660830557619047e-12,1.1079363900591011e-10,4.0844284328750265e-91,0.9999806927003944
2015-08-03,3.5435247923701866e-06,7.878681853687333e-10,3.0571922845429137e-12,8.226277067018915e-76,0.9999964556842825
2015-08-04,2.2052208858614185e-06,1.5383833051306296e-14,6.059937795119895e-13,2.795371196214224e-96,0.999997794778492
2015-08-05,3.990034900106229e-06,6.116568701507824e-11,1.2812546837786258e-12,3.740159108253353e-77,0.9999960099026511
2015-08-06,2.6756488537053557e-05,4.370412318304335e-17,3.6186428245897402e-09,2.3631453157250572e-123,0.9999732398928187
2015-08-07,1.8466543174073447e-05,4.037008088358768e-15,3.00799569806925e-10,2.0122029664929817e-109,0.9999815331560225
2015-08-10,1.1392900180113964e-05,9.684023103367e-16,4.2377322260097116e-10,6.678507276655883e-113,0.9999886066760445
2015-08-11,2.8412200219885727e-06,5.947240124605242e-10,1.1530093845035427e-11,3.1462014632157092e-81,0.9999971581737256
2015-08-12,4.77777036272523e-06,3.053752170852262e-13,3.141148681971064e-10,2.693117884375644e-102,0.9999952219152173
2015-08-13,1.0014252495764745e-07,5.5461109864204384e-08,7.94215631111824e-12,1.7060579230314873e-62,0.9999998443884227
2015-08-14,2.0647044415624014e-07,5.773182601425468e-09,5.106722263411766e-12,1.1744836912930242e-67,0.9999997877512653
2015-08-17,2.181666241881111e-10,2.6345802091988928e-18,1.940289515897125e-14,2.1303211160503272e-134,0.9999999997818136
2015-08-18,2.0257661395505114e-11,8.22966044437927e-17,2.4792090264657233e-14,1.118415687914019e-122,0.9999999999797176
2015-08-19,5.5481671568080764e-15,7.374459997779287e-18,1.9563294362203012e-16,2.1727568632612497e-128,0.9999999999999929
2015-08-20,1.1589304446731731e-09,2.90163849586589e-17,3.172008764489222e-14,3.101337773259832e-129,0.9999999988410373
